NU_INSCRICAO,TP_SEXO,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ESCOLA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,MEDIA_GERAL
210061078976,Feminino,13,Preta,Não respondeu,NA,NA,1,1,1,1,438.9,528.7,526.6,458.9,480,B,C,C,B,3,486.62
210061679867,Feminino,1,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,D,D,3,0
210060067933,Feminino,4,Branca,Não respondeu,NA,NA,0,1,1,0,0,486,501.8,0,360,F,E,D,B,2,269.56
210058767785,Masculino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,480.4,566.2,503.9,690,920,C,D,B,B,4,632.1
210059349870,Masculino,4,Parda,Não respondeu,NA,NA,1,1,1,1,447.2,361.8,398.5,416.3,500,D,F,D,F,3,424.76
210059015027,Masculino,2,Parda,Pública,Ensino Regular,NA,1,1,1,1,565.8,598.1,567.3,694.6,880,G,G,D,D,4,661.16
210060793859,Feminino,3,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,551.3,554.3,516.7,574.1,720,D,C,B,D,4,583.28
210060252487,Masculino,5,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,C,F,C,B,5,0
210059973486,Feminino,9,Parda,Não respondeu,NA,NA,1,1,1,1,524.8,579.2,508,466.1,680,E,E,B,B,5,551.62
210061883747,Feminino,3,Branca,Privada,Ensino Regular,Privada,1,1,1,1,388.9,450.1,492.4,371.5,380,D,D,C,B,2,416.58
210058848083,Feminino,2,Não declarado,Privada,Ensino Regular,Privada,1,1,1,1,617.1,632.6,634.8,768.3,800,F,G,E,D,4,690.56
210060489131,Masculino,1,Branca,Não respondeu,NA,NA,0,1,1,0,0,569.2,559.5,0,540,C,C,C,C,3,333.74
210059749903,Feminino,3,Parda,Pública,Ensino Regular,NA,1,1,1,1,512.5,540.3,552.5,454.6,740,E,E,C,B,3,559.98
210060499323,Masculino,2,Branca,Pública,Ensino Regular,Federal,1,1,1,1,594.6,656.4,614.4,717.4,800,E,E,C,C,3,676.56
210060861679,Feminino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,410.3,493.2,460.7,411.4,580,B,E,C,B,4,471.12
210061295448,Masculino,3,Branca,Não respondeu,NA,NA,1,1,1,1,374.1,339.6,439.5,363.1,0,E,G,B,F,4,303.26
210058637062,Feminino,7,Parda,Não respondeu,NA,NA,1,1,1,1,495.5,554.1,563.1,545.1,900,C,E,C,B,2,611.5600000000001
210060355093,Feminino,1,Branca,Não respondeu,NA,NA,0,1,1,0,0,452.5,495.9,0,800,B,E,A,B,3,349.68
210061100542,Feminino,11,Preta,Não respondeu,NA,NA,1,1,1,1,460,349.7,370.4,353,360,A,A,A,A,6,378.62
210060690885,Masculino,3,Branca,Privada,Ensino Regular,Privada,1,1,1,1,600.2,586.3,550.8,661.8,680,E,F,F,F,3,615.8199999999999
210059884350,Masculino,10,Branca,Não respondeu,NA,NA,1,1,1,1,634.6,651.9,630.6,735.5,580,C,E,D,B,5,646.52
210059511197,Masculino,14,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,A,D,A,B,2,0
210059188520,Masculino,18,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,F,E,D,D,2,0
210059509983,Feminino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,520.6,551.4,588.9,591.9,840,A,E,A,B,4,618.56
210058411672,Masculino,1,Branca,Não respondeu,NA,NA,1,1,1,1,579.4,605.6,575.6,721.9,480,B,D,C,B,3,592.5
210059667512,Feminino,2,Parda,Pública,Ensino Regular,Estadual,0,0,0,0,0,0,0,0,0,E,E,F,B,3,0
210059549278,Feminino,17,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,F,E,B,F,2,0
210059501068,Feminino,13,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,G,C,D,2,0
210059142135,Feminino,4,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,D,C,C,5,0
210060539557,Feminino,4,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,446,558,502.6,384.4,400,H,H,F,D,5,458.2
210060007962,Masculino,1,Parda,Não respondeu,NA,NA,1,1,1,1,488.6,510.6,521.7,491.7,560,E,E,B,C,3,514.52
210060428808,Feminino,11,Branca,Não respondeu,NA,NA,1,0,0,1,747.7,0,0,735.1,0,G,E,C,B,3,296.56
210058856262,Feminino,16,Preta,Não respondeu,NA,NA,1,1,1,1,428.8,454.6,452.7,360.2,440,C,A,B,B,2,427.26
210061063196,Masculino,3,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,684.9,630.8,599.4,694.2,760,E,G,A,D,4,673.86
210059117168,Feminino,2,Parda,Pública,Ensino Regular,NA,0,0,0,0,0,0,0,0,0,C,E,C,F,2,0
210059435242,Feminino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,417,390.7,433.7,361.9,540,H,H,B,C,2,428.65999999999997
210061757611,Masculino,1,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,F,B,7,0
210060321011,Feminino,5,Amarela,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,B,C,B,3,0
210060685102,Feminino,3,Branca,Pública,Ensino Regular,Federal,1,1,1,1,542.8,476.7,435.4,403.7,780,B,D,A,A,4,527.72
210058963998,Feminino,7,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,B,B,2,0
210059736908,Masculino,1,Preta,Não respondeu,NA,NA,1,1,1,1,517.1,564.4,574.4,615,660,G,G,D,D,4,586.18
210061844062,Masculino,2,Branca,Não respondeu,NA,NA,1,1,1,1,515.6,451.6,526.2,427.2,360,B,G,B,D,3,456.12
210060441948,Masculino,9,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,G,G,D,D,3,0
210059783331,Masculino,3,Branca,Não respondeu,NA,NA,1,1,1,1,576.8,571.6,592.7,652.9,800,E,E,C,B,2,638.8
210061400285,Feminino,3,Parda,Pública,Ensino Regular,Estadual,0,0,0,0,0,0,0,0,0,H,H,F,F,3,0
210058544597,Masculino,2,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,377.2,476.1,548.1,686,560,G,E,A,B,4,529.48
210060480934,Feminino,2,Branca,Não respondeu,NA,NA,1,1,1,1,544.7,538.6,564.8,698.9,920,G,G,E,E,4,653.4
210059793183,Masculino,4,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,D,E,C,B,2,0
210061548840,Feminino,5,Branca,Não respondeu,NA,NA,1,1,1,1,662.2,606.3,574.6,741.5,920,F,F,D,D,3,700.92
210058442431,Feminino,2,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,H,B,B,B,10,0
210059329109,Masculino,9,Preta,Não respondeu,NA,NA,1,1,1,1,538,638.6,468.3,743.9,680,C,D,A,A,4,613.76
210060655225,Masculino,3,Parda,Pública,Ensino Regular,NA,1,1,1,1,513.6,586.7,545.6,454.3,700,G,E,B,B,4,560.04
210061164493,Masculino,3,Parda,Pública,Ensino Regular,Estadual,0,0,0,0,0,0,0,0,0,B,C,A,A,5,0
210061828345,Feminino,13,Branca,Não respondeu,NA,NA,1,1,1,1,570.7,579.1,427,411.2,520,B,E,C,C,3,501.6
210058496528,Masculino,3,Preta,Não respondeu,NA,NA,0,1,1,0,0,551.3,358,0,400,D,C,C,B,7,261.86
210061036006,Feminino,12,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,F,E,B,B,3,0
210061220386,Feminino,3,Branca,Não respondeu,NA,NA,1,1,1,1,481,574,644.8,634.1,640,E,E,C,F,3,594.78
210058731662,Feminino,3,Preta,Pública,Ensino Regular,Estadual,1,1,1,1,419.1,532.1,518,538.9,520,E,E,B,B,4,505.62
